login_id	ログインID
login_pass	ログインPASS
company_name	会社名
company	会社
url	URL
address	住所
email	Email
ip	IPアドレス
ip_address	IPアドレス
content	内容
body	内容
customer_ip	顧客IPアドレス
last_logined	最終ログイン日
created	追加日
modified	更新日
name	名前
title	タイトル
status	状態
type	種類
pref_id	都道府県
pref_tid	都道府県
sex_tid	性別
sex_id	性別
sex	性別
unique_key	ユニーク番号
user_agent	ユーザエージェント
display_start_date	掲載開始
display_end_date	掲載終了
price	価格
keyword	キーワード
code	コード
page_type	ページ
page	ページ
aff	アフィリエイト
aff_id	アフィリエイトID
user_id	ユーザID
asp_id	ASPID
click_num	クリック数
description	説明
image_url	画像
image_url	画像
img_path	画像
image_path	画像
memo	メモ
mobile_key	個体識別
sales	売上
age	年齢
birthday	誕生日
birth_day	誕生日
promotion_id	プロモーション
nickname	ニックネーム
nick_name	ニックネーム
mei_kana	メイ
sei_kana	セイ
sei	性
mei	名
current_pt	現在PT
total_pt	累計PT
referrer	リファラー
referer	リファラー
hash	鍵
